"","year","month","season","occ.sess","occasion","session","site","trt","food_trt","helm_trt","tag","firstcap","trap","x","y","sex","season_breeder"
"1",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219508","1","J5",10,10,"F","breeder"
"2",2021,"sept","fall","5.2",5,2,"janakkala","fed_deworm","fed","deworm","219514","1","K2",11,3,"M","breeder"
"3",2021,"sept","fall","5.4",5,4,"janakkala","fed_deworm","fed","deworm","219514","0","K2",11,3,"M","breeder"
"4",2021,"oct","fall","6.1",6,1,"janakkala","fed_deworm","fed","deworm","219514","0","K1",11,1,"M","breeder"
"5",2021,"oct","fall","6.4",6,4,"janakkala","fed_deworm","fed","deworm","219514","0","K2",11,3,"M","breeder"
"6",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219535","1","B1",2,2,"M","nonbreeder"
"7",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219538","1","J3",10,6,"F","nonbreeder"
"8",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219554","1","K3",11,5,"F","nonbreeder"
"9",2021,"sept","fall","5.2",5,2,"radio","fed_control","fed","control","219560","1","C6",3,11,"F","breeder"
"10",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219567","1","J3",10,6,"F","nonbreeder"
"11",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219567","0","I5",9,9,"F","nonbreeder"
"12",2021,"oct","fall","6.1",6,1,"radio","fed_control","fed","control","219567","0","H3",8,6,"F","nonbreeder"
"13",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219568","1","C6",3,11,"M","nonbreeder"
"14",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219571","1","K1",11,1,"F","breeder"
"15",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219598","1","G1",7,1,"F","nonbreeder"
"16",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219598","0","G2",7,3,"F","nonbreeder"
"17",2021,"sept","fall","5.4",5,4,"radio","fed_control","fed","control","219598","0","G1",7,1,"F","nonbreeder"
"18",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219600","1","I6",9,11,"M","nonbreeder"
"19",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219600","0","K6",11,11,"M","nonbreeder"
"20",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219601","1","A5",1,9,"F","breeder"
"21",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219601","0","B5",2,10,"F","breeder"
"22",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219601","0","A5",1,9,"F","breeder"
"23",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219603","1","C1",3,1,"M","nonbreeder"
"24",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219604","1","A6",1,11,"F","nonbreeder"
"25",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219604","0","A6",1,11,"F","nonbreeder"
"26",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219606","1","E1",5,1,"F","nonbreeder"
"27",2021,"sept","fall","5.1",5,1,"helmipollo","unfed_control","unfed","control","219607","1","J5",10,10,"M","breeder"
"28",2021,"sept","fall","5.3",5,3,"helmipollo","unfed_control","unfed","control","219607","0","K5",11,9,"M","breeder"
"29",2021,"oct","fall","6.1",6,1,"helmipollo","unfed_control","unfed","control","219607","0","J5",10,10,"M","breeder"
"30",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219607","0","J2",10,4,"M","breeder"
"31",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219609","1","K6",11,11,"F","nonbreeder"
"32",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219609","0","K6",11,11,"F","nonbreeder"
"33",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219610","1","I1",9,1,"F","nonbreeder"
"34",2021,"oct","fall","6.1",6,1,"helmipollo","unfed_control","unfed","control","219611","1","A6",1,11,"F","nonbreeder"
"35",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219611","0","A6",1,11,"F","nonbreeder"
"36",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219614","1","J4",10,8,"F","nonbreeder"
"37",2021,"sept","fall","5.2",5,2,"hevonen","unfed_control","unfed","control","219614","0","H4",8,8,"F","nonbreeder"
"38",2021,"sept","fall","5.3",5,3,"hevonen","unfed_control","unfed","control","219614","0","G4",7,7,"F","nonbreeder"
"39",2021,"sept","fall","5.4",5,4,"hevonen","unfed_control","unfed","control","219614","0","H4",8,8,"F","nonbreeder"
"40",2021,"sept","fall","5.3",5,3,"talo","fed_deworm","fed","deworm","219615","1","G2",7,3,"M","nonbreeder"
"41",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219616","1","K6",11,11,"F","nonbreeder"
